Date,Open,High,Low,Close,Volume,OI
05 May 2026,153100.00,153800.00,152591.00,153298.00,461,1693
04 May 2026,154479.00,154555.00,152409.00,152846.00,663,1579
01 May 2026,153070.00,155500.00,153007.00,154505.00,232,1412
30 Apr 2026,152569.00,155010.00,152146.00,154272.00,676,1437
29 Apr 2026,153059.00,153389.00,151016.00,152054.00,343,1380
28 Apr 2026,154587.00,154597.00,151940.00,153059.00,1098,1355
27 Apr 2026,155562.00,155562.00,154000.00,154531.00,419,1360
24 Apr 2026,153827.00,155507.00,153294.00,155222.00,421,1460
23 Apr 2026,154639.00,155552.00,154001.00,154269.00,317,1408
22 Apr 2026,155968.00,156298.00,154849.00,155312.00,186,1370
21 Apr 2026,156438.00,156482.00,153969.00,154470.00,349,1369
20 Apr 2026,155623.00,156825.00,155455.00,156482.00,188,1437
17 Apr 2026,155823.00,158000.00,155198.00,157179.00,353,1391
16 Apr 2026,157428.00,157499.00,155669.00,155788.00,206,1312
15 Apr 2026,157462.00,157597.00,156243.00,156399.00,252,1282
14 Apr 2026,155700.00,157417.00,155380.00,157287.00,209,1207
13 Apr 2026,154120.00,154878.00,153775.00,154621.00,217,1155
10 Apr 2026,155387.00,155963.00,154555.00,155196.00,280,1106
09 Apr 2026,153753.00,156125.00,153501.00,156002.00,286,1109
08 Apr 2026,155600.00,157150.00,154100.00,154337.00,557,1099
07 Apr 2026,152208.00,153353.00,151142.00,152579.00,356,993
06 Apr 2026,151579.00,153950.00,151520.00,152630.00,172,910
02 Apr 2026,154000.00,154000.00,149573.00,151960.00,579,897
01 Apr 2026,153128.00,157000.00,153128.00,156133.00,739,874
