Date,Open,High,Low,Close,Volume,OI
11 Jun 2026,150001.00,153147.00,149822.00,152155.00,388,318
10 Jun 2026,153480.00,153925.00,151221.00,151342.00,470,324
09 Jun 2026,158224.00,158530.00,155358.00,155828.00,199,235
08 Jun 2026,158250.00,158672.00,155800.00,157969.00,261,222
05 Jun 2026,161900.00,162045.00,158139.00,158970.00,271,188
04 Jun 2026,162642.00,163760.00,162337.00,162935.00,118,163
03 Jun 2026,163050.00,163471.00,161850.00,162103.00,136,164
02 Jun 2026,163300.00,164473.00,163095.00,163223.00,114,152
01 Jun 2026,164150.00,164150.00,162334.00,163017.00,105,140
29 May 2026,164252.00,165140.00,163720.00,164800.00,141,123
28 May 2026,162089.00,164500.00,161260.00,164108.00,49,97
27 May 2026,164749.00,164750.00,162250.00,162926.00,48,89
26 May 2026,165100.00,165497.00,164432.00,164719.00,17,79
25 May 2026,165186.00,166097.00,165186.00,165842.00,16,77
22 May 2026,165000.00,165000.00,164395.00,164682.00,22,74
21 May 2026,165807.00,165807.00,165033.00,165390.00,9,60
20 May 2026,163617.00,166000.00,163617.00,165166.00,29,61
19 May 2026,166751.00,166751.00,164039.00,165099.00,21,50
18 May 2026,166643.00,167334.00,166122.00,166716.00,12,43
15 May 2026,169335.00,169335.00,166275.00,167033.00,22,41
14 May 2026,170504.00,171097.00,170188.00,170575.00,11,36
13 May 2026,165099.00,172190.00,165099.00,170323.00,22,35
12 May 2026,160582.00,160700.00,160001.00,160291.00,7,33
11 May 2026,158639.00,160620.00,158639.00,160066.00,7,32
08 May 2026,159086.00,159290.00,158850.00,159024.00,16,32
07 May 2026,159396.00,159396.00,158684.00,159033.00,3,22
06 May 2026,158027.00,159181.00,158000.00,158890.00,14,23
05 May 2026,155950.00,155950.00,155950.00,155950.00,1,22
04 May 2026,157006.00,157006.00,155930.00,156550.00,8,22
01 May 2026,158106.00,158106.00,158106.00,158106.00,1,20
