Date,Open,High,Low,Close,Volume,OI
05 May 2026,149749.00,150440.00,149228.00,149753.00,4540,9814
04 May 2026,151150.00,151347.00,148760.00,149339.00,6412,9981
01 May 2026,150112.00,152208.00,149742.00,151352.00,4330,9083
30 Apr 2026,149499.00,151890.00,149069.00,151111.00,9152,9090
29 Apr 2026,150720.00,151527.00,147950.00,149050.00,6485,9539
28 Apr 2026,151700.00,151802.00,148681.00,150027.00,7534,9192
27 Apr 2026,152695.00,153008.00,151239.00,151721.00,3732,8718
24 Apr 2026,151167.00,153164.00,150750.00,152699.00,4802,8076
23 Apr 2026,152051.00,153003.00,151268.00,151761.00,5383,8291
22 Apr 2026,153335.00,153699.00,152200.00,152657.00,3582,8333
21 Apr 2026,153800.00,153992.00,151404.00,151671.00,5220,8660
20 Apr 2026,153158.00,154348.00,152799.00,153943.00,3885,8399
17 Apr 2026,153301.00,155500.00,152547.00,154609.00,6219,8191
16 Apr 2026,154651.00,154990.00,152929.00,153152.00,4826,7864
15 Apr 2026,154757.00,155065.00,153563.00,153948.00,5310,7655
14 Apr 2026,153154.00,154940.00,152700.00,154817.00,4349,7409
13 Apr 2026,151547.00,152357.00,151255.00,152072.00,4726,7595
10 Apr 2026,152685.00,153285.00,151745.00,152652.00,5795,7579
09 Apr 2026,150647.00,153575.00,150647.00,153434.00,5973,7385
08 Apr 2026,153550.00,154934.00,151488.00,151776.00,7349,7305
07 Apr 2026,149759.00,150860.00,148424.00,150289.00,7261,6868
06 Apr 2026,148847.00,151390.00,148298.00,149981.00,5949,7158
02 Apr 2026,152490.00,152490.00,147100.00,149680.00,9733,6648
01 Apr 2026,151427.00,154500.00,151068.00,153708.00,7883,6607
