Date,Open,High,Low,Close,Volume,OI
08 Jun 2026,153043.00,153340.00,150800.00,152900.00,38846,49398
05 Jun 2026,156487.00,156666.00,153023.00,153712.00,51399,49812
04 Jun 2026,157059.00,158044.00,156550.00,157289.00,25954,46951
03 Jun 2026,157130.00,157389.00,156000.00,156314.00,28993,46899
02 Jun 2026,156913.00,158237.00,156913.00,157055.00,27247,44904
01 Jun 2026,157987.00,157987.00,156200.00,156972.00,26843,39943
29 May 2026,158362.00,158900.00,157250.00,158354.00,29185,36477
28 May 2026,156001.00,158600.00,155255.00,158410.00,18822,30812
27 May 2026,158830.00,159234.00,156400.00,157378.00,20467,29056
26 May 2026,159816.00,160033.00,158826.00,158964.00,11423,24999
25 May 2026,160499.00,160822.00,160100.00,160368.00,7767,21929
22 May 2026,159991.00,160628.00,159343.00,159765.00,6643,19883
21 May 2026,160544.00,160914.00,159650.00,160635.00,6902,19269
20 May 2026,158825.00,160986.00,158720.00,160850.00,8422,18758
19 May 2026,160728.00,161290.00,159300.00,159829.00,8605,18830
18 May 2026,159850.00,161600.00,159400.00,160745.00,11060,18833
15 May 2026,163101.00,163101.00,160010.00,160477.00,10983,17456
14 May 2026,162900.00,164600.00,162900.00,163774.00,8821,16062
13 May 2026,155688.00,169048.00,155688.00,163824.00,17866,15844
12 May 2026,155161.00,155811.00,154333.00,155092.00,7117,14775
11 May 2026,153770.00,156028.00,153205.00,155223.00,10119,14691
08 May 2026,154315.00,155050.00,153900.00,154234.00,6050,14526
07 May 2026,154220.00,155425.00,153600.00,153937.00,7815,14300
06 May 2026,152308.00,154490.00,152308.00,153788.00,7579,13402
05 May 2026,151594.00,152000.00,150892.00,151454.00,4576,13114
04 May 2026,151858.00,153040.00,150603.00,151046.00,6430,12232
01 May 2026,151774.00,153800.00,151262.00,152911.00,3919,11476
30 Apr 2026,151373.00,153300.00,150411.00,152637.00,6714,11293
29 Apr 2026,151648.00,151674.00,149399.00,150434.00,5162,10176
28 Apr 2026,153040.00,153074.00,150018.00,151395.00,7320,9110
27 Apr 2026,153875.00,154305.00,152562.00,153036.00,2610,6776
24 Apr 2026,152317.00,154390.00,152035.00,153934.00,1682,5855
23 Apr 2026,153521.00,154290.00,152604.00,153031.00,1664,5598
22 Apr 2026,154500.00,154890.00,153541.00,153981.00,1112,5321
21 Apr 2026,154872.00,155215.00,152750.00,153029.00,2147,5199
20 Apr 2026,154444.00,155540.00,154005.00,155177.00,1484,5090
17 Apr 2026,154560.00,156700.00,153842.00,155896.00,2499,4746
16 Apr 2026,155979.00,156200.00,154266.00,154463.00,1269,4388
15 Apr 2026,156282.00,156282.00,154838.00,155132.00,1650,4344
14 Apr 2026,154279.00,156164.00,154000.00,156029.00,1383,4387
13 Apr 2026,153124.00,153500.00,152539.00,153324.00,1090,4397
10 Apr 2026,153818.00,154489.00,153021.00,153854.00,1291,4402
09 Apr 2026,152785.00,154743.00,152099.00,154558.00,1869,4404
08 Apr 2026,153980.00,156035.00,152786.00,153049.00,2910,3662
07 Apr 2026,151001.00,152014.00,149603.00,151502.00,1795,3289
06 Apr 2026,150452.00,152735.00,149486.00,151377.00,1216,2811
