Date,Open,High,Low,Close,Volume,OI
05 Jun 2026,159000.00,159000.00,154849.00,155549.00,17217,10642
04 Jun 2026,159276.00,160205.00,158600.00,159381.00,8345,11251
03 Jun 2026,159200.00,159600.00,158050.00,158387.00,7341,10364
02 Jun 2026,159108.00,160550.00,159060.00,159209.00,7845,10080
01 Jun 2026,159910.00,160183.00,158295.00,159157.00,7642,8757
29 May 2026,160300.00,161456.00,159651.00,160729.00,8298,8564
28 May 2026,158812.00,160910.00,157435.00,160713.00,5844,7252
27 May 2026,161023.00,161279.00,158270.00,159541.00,5870,6163
26 May 2026,161800.00,161935.00,160700.00,160877.00,3770,5489
25 May 2026,162697.00,162697.00,161720.00,162300.00,2758,4921
22 May 2026,161578.00,162270.00,160865.00,161343.00,2354,4923
21 May 2026,162304.00,162536.00,161226.00,162277.00,2448,4714
20 May 2026,160912.00,162684.00,160314.00,162519.00,2797,4702
19 May 2026,163193.00,163250.00,161038.00,161534.00,4492,4940
18 May 2026,162736.00,163665.00,161817.00,162792.00,3431,5544
15 May 2026,165464.00,165464.00,162359.00,162908.00,3122,5390
14 May 2026,166339.00,167000.00,165610.00,166245.00,2930,4737
13 May 2026,158320.00,168099.00,158320.00,166157.00,8696,4632
12 May 2026,157266.00,157743.00,156260.00,157060.00,3276,4366
11 May 2026,155824.00,157786.00,155000.00,157112.00,3325,4346
08 May 2026,156200.00,156800.00,155676.00,155989.00,2392,4401
07 May 2026,156152.00,157121.00,155285.00,155687.00,2849,5108
06 May 2026,154365.00,156281.00,154365.00,155595.00,3398,5395
05 May 2026,153121.00,153768.00,152610.00,153229.00,1233,5310
04 May 2026,154375.00,154700.00,152405.00,152815.00,1528,5213
01 May 2026,153507.00,155433.00,152863.00,154534.00,1180,5085
