Date,Open,High,Low,Close,Volume,OI
04 Jun 2026,155090.00,156239.00,154675.00,155355.00,741,1929
03 Jun 2026,154000.00,155000.00,153691.00,154457.00,5109,11083
02 Jun 2026,154750.00,155880.00,154404.00,154620.00,13541,13647
01 Jun 2026,155389.00,155555.00,153848.00,154660.00,18146,18788
29 May 2026,155851.00,156778.00,154893.00,155986.00,43577,21836
28 May 2026,153768.00,157751.00,153149.00,156336.00,34919,26865
27 May 2026,157260.00,157409.00,154435.00,155261.00,36387,30246
26 May 2026,158120.00,158150.00,156905.00,157143.00,23452,33063
25 May 2026,158998.00,159259.00,158338.00,158515.00,21509,33770
22 May 2026,158390.00,158944.00,157625.00,158133.00,21589,35994
21 May 2026,158886.00,159550.00,158030.00,159005.00,27671,35596
20 May 2026,157362.00,159499.00,157152.00,159348.00,32040,36007
19 May 2026,159008.00,159489.00,157807.00,158423.00,34536,36821
18 May 2026,157690.00,159803.00,157175.00,158903.00,37918,37346
15 May 2026,160003.00,160349.00,157635.00,158153.00,47895,39236
14 May 2026,161387.00,162389.00,159526.00,161453.00,37966,39985
13 May 2026,153575.00,163576.00,153230.00,161557.00,72202,41919
12 May 2026,153575.00,153990.00,152350.00,153146.00,41154,46139
11 May 2026,152160.00,154538.00,151440.00,153445.00,55652,45440
08 May 2026,152634.00,153350.00,152200.00,152467.00,40399,43940
07 May 2026,152609.00,153750.00,151850.00,152176.00,51012,44622
06 May 2026,150699.00,152830.00,150699.00,152102.00,57909,44149
05 May 2026,149563.00,150400.00,149220.00,149750.00,36765,45221
04 May 2026,150889.00,151394.00,148810.00,149324.00,55718,43561
01 May 2026,150112.00,152222.00,149385.00,151353.00,36477,40383
30 Apr 2026,149649.00,151862.00,149089.00,151060.00,51197,36765
29 Apr 2026,150194.00,150400.00,148056.00,149118.00,33478,30519
28 Apr 2026,151910.00,151910.00,148800.00,150123.00,35888,27809
27 Apr 2026,152811.00,153123.00,151322.00,151771.00,16720,23416
24 Apr 2026,151116.00,153342.00,150811.00,152764.00,17755,19574
23 Apr 2026,152042.00,153141.00,151400.00,151851.00,16590,18958
22 Apr 2026,153444.00,153700.00,152280.00,152732.00,11632,18077
21 Apr 2026,153886.00,154067.00,151500.00,151758.00,17770,18270
20 Apr 2026,153100.00,154400.00,152814.00,154009.00,12564,16456
17 Apr 2026,153306.00,155500.00,152500.00,154681.00,17494,15577
16 Apr 2026,154640.00,154970.00,153016.00,153227.00,11106,13928
15 Apr 2026,154747.00,155089.00,153653.00,153962.00,11221,13090
14 Apr 2026,152985.00,154933.00,152751.00,154807.00,10362,12433
13 Apr 2026,151863.00,152349.00,151236.00,152134.00,10059,12754
10 Apr 2026,152788.00,153300.00,151771.00,152637.00,11144,12472
09 Apr 2026,151478.00,153578.00,150676.00,153438.00,12618,11284
08 Apr 2026,150844.00,154931.00,150844.00,151796.00,19019,11006
07 Apr 2026,149995.00,150900.00,148445.00,150271.00,14774,10542
06 Apr 2026,149312.00,151465.00,148271.00,149944.00,11573,10254
