Date,Open,High,Low,Close,Volume,OI
05 May 2026,149749.00,150440.00,149228.00,149753.00,4540,9814
04 May 2026,151150.00,151347.00,148760.00,149339.00,6412,9981
01 May 2026,150112.00,152208.00,149742.00,151352.00,4330,9083
30 Apr 2026,149499.00,151890.00,149069.00,151111.00,9152,9090
29 Apr 2026,150720.00,151527.00,147950.00,149050.00,6485,9539
28 Apr 2026,151700.00,151802.00,148681.00,150027.00,7534,9192
27 Apr 2026,152695.00,153008.00,151239.00,151721.00,3732,8718
24 Apr 2026,151167.00,153164.00,150750.00,152699.00,4802,8076
23 Apr 2026,152051.00,153003.00,151268.00,151761.00,5383,8291
22 Apr 2026,152410.00,152799.00,151100.00,151950.00,4200,8100
21 Apr 2026,151500.00,152442.00,150900.00,152100.00,4500,8000
20 Apr 2026,154400.00,155000.00,152814.00,154200.00,4000,7800
17 Apr 2026,155500.00,156000.00,152500.00,155100.00,3800,7600
16 Apr 2026,154970.00,155800.00,153016.00,154700.00,4100,7700
15 Apr 2026,155089.00,155900.00,153653.00,154900.00,4200,7500
