Date,Open,High,Low,Close,Volume,OI
05 May 2026,149563.00,150400.00,149220.00,149750.00,36765,45221
04 May 2026,150889.00,151394.00,148810.00,149324.00,55718,43561
01 May 2026,150112.00,152222.00,149385.00,151353.00,36477,40383
30 Apr 2026,149649.00,151862.00,149089.00,151060.00,51197,36765
29 Apr 2026,150194.00,150400.00,148056.00,149118.00,33478,30519
28 Apr 2026,151910.00,151910.00,148800.00,150123.00,35888,27809
27 Apr 2026,152811.00,153123.00,151322.00,151771.00,16720,23416
24 Apr 2026,151116.00,153342.00,150811.00,152764.00,17755,19574
23 Apr 2026,152042.00,153141.00,151400.00,151851.00,16590,18958
22 Apr 2026,153444.00,153700.00,152280.00,152732.00,11632,18077
21 Apr 2026,153886.00,154067.00,151500.00,151758.00,17770,18270
20 Apr 2026,153100.00,154400.00,152814.00,154009.00,12564,16456
17 Apr 2026,153306.00,155500.00,152500.00,154681.00,17494,15577
16 Apr 2026,154640.00,154970.00,153016.00,153227.00,11106,13928
15 Apr 2026,154747.00,155089.00,153653.00,153962.00,11221,13090
14 Apr 2026,152985.00,154933.00,152751.00,154807.00,10362,12433
13 Apr 2026,151863.00,152349.00,151236.00,152134.00,10059,12754
10 Apr 2026,152788.00,153300.00,151771.00,152637.00,11144,12472
09 Apr 2026,151478.00,153578.00,150676.00,153438.00,12618,11284
08 Apr 2026,150844.00,154931.00,150844.00,151796.00,19019,11006
07 Apr 2026,149995.00,150900.00,148445.00,150271.00,14774,10542
06 Apr 2026,149312.00,151465.00,148271.00,149944.00,11573,10254
02 Apr 2026,152362.00,152362.00,147041.00,149720.00,20712,10262
01 Apr 2026,151989.00,154562.00,151056.00,153756.00,14383,10353
