Date,Open,High,Low,Close,Volume,OI
18 May 2026,307.40,311.80,302.80,308.60,19292,5503
15 May 2026,300.20,302.90,297.10,300.60,12478,4493
14 May 2026,295.40,298.70,289.00,297.40,13687,4315
13 May 2026,291.80,299.20,289.90,294.80,10974,3947
12 May 2026,300.40,302.90,291.50,292.90,8575,3717
11 May 2026,293.00,300.00,291.00,299.70,10056,3758
08 May 2026,288.60,293.40,285.60,286.30,8103,3783
07 May 2026,285.80,290.60,280.10,288.90,8661,3769
06 May 2026,293.00,294.30,283.50,285.90,9371,3752
05 May 2026,300.30,302.60,293.50,295.50,8758,3573
04 May 2026,297.00,305.50,294.10,304.10,9623,4688
01 May 2026,292.10,296.10,290.70,293.20,4508,3764
30 Apr 2026,281.60,293.30,277.40,290.30,8163,3094
29 Apr 2026,286.10,286.10,279.90,281.50,5134,2569
28 Apr 2026,287.20,290.40,285.20,286.90,4961,2736
27 Apr 2026,285.40,293.20,284.40,289.00,4450,2287
24 Apr 2026,287.30,288.80,281.70,284.40,3494,2105
23 Apr 2026,297.20,298.50,285.60,288.50,3701,1933
22 Apr 2026,296.10,299.90,295.00,296.50,2370,1991
21 Apr 2026,290.90,295.70,290.60,294.30,1336,1772
20 Apr 2026,295.50,296.50,291.00,293.20,1332,1506
17 Apr 2026,291.10,293.00,286.40,292.10,1768,1449
16 Apr 2026,288.70,292.30,288.00,289.50,1084,1295
15 Apr 2026,290.70,291.40,287.70,289.00,1261,1266
14 Apr 2026,292.80,294.70,287.00,289.40,1491,1205
13 Apr 2026,297.70,301.20,293.30,294.10,1230,1088
10 Apr 2026,294.30,295.90,291.60,294.00,1270,1067
09 Apr 2026,296.10,298.20,291.50,292.80,1610,958
08 Apr 2026,297.00,297.60,291.60,293.50,1210,529
07 Apr 2026,301.90,307.30,299.00,306.00,946,498
06 Apr 2026,304.00,305.40,300.10,302.30,650,462
02 Apr 2026,307.00,311.50,301.10,301.50,1106,397
01 Apr 2026,310.10,310.40,300.40,301.60,869,461
