Date,Open,High,Low,Close,Volume,OI
15 May 2026,281.00,285.90,277.70,284.00,105877,23790
14 May 2026,272.00,279.00,268.20,277.40,106821,20189
13 May 2026,270.60,280.40,269.60,275.20,97143,20505
12 May 2026,279.30,281.70,269.10,270.90,87326,21438
11 May 2026,262.70,278.10,262.70,277.60,114159,26850
08 May 2026,262.60,269.20,260.20,261.00,104229,30025
07 May 2026,258.50,266.00,253.10,263.90,121189,29071
06 May 2026,267.00,267.00,255.60,258.40,103664,27661
05 May 2026,272.00,273.90,265.00,267.00,109509,22060
04 May 2026,267.00,276.10,264.50,274.50,116951,20653
01 May 2026,264.60,269.40,261.80,264.50,70870,27833
30 Apr 2026,252.80,266.40,248.20,263.10,133625,28708
29 Apr 2026,255.50,257.00,250.00,252.10,80322,34851
28 Apr 2026,259.50,261.90,255.50,257.50,80025,30005
27 Apr 2026,256.60,265.90,254.80,261.50,81336,25872
24 Apr 2026,258.30,260.00,251.80,255.40,49323,26323
23 Apr 2026,270.60,272.10,257.10,260.00,55138,21946
22 Apr 2026,270.10,273.90,268.80,270.10,23307,11323
21 Apr 2026,264.40,269.40,263.50,267.80,17987,9882
20 Apr 2026,269.80,270.30,264.00,266.90,15901,9077
17 Apr 2026,263.90,266.20,258.70,265.10,16039,7830
16 Apr 2026,260.00,265.00,259.50,262.20,11493,7709
15 Apr 2026,261.30,262.80,259.40,261.20,7677,7802
14 Apr 2026,262.70,265.80,258.10,260.50,8844,7525
13 Apr 2026,268.00,272.60,263.60,264.80,8963,6667
10 Apr 2026,266.80,267.80,263.00,265.10,6540,5841
09 Apr 2026,270.80,272.10,264.70,265.40,7845,5533
08 Apr 2026,271.70,273.90,266.90,267.80,9197,4598
07 Apr 2026,277.50,285.00,274.30,283.00,9329,3266
06 Apr 2026,281.20,283.20,276.00,279.20,7058,3002
02 Apr 2026,283.00,286.40,276.50,277.50,7712,3120
01 Apr 2026,285.10,287.50,277.20,278.40,6514,3039
