Date,Open,High,Low,Close,Volume,OI
26 May 2026,297.20,302.00,295.60,296.20,4118,2451
25 May 2026,291.70,300.00,291.10,295.50,2859,2342
22 May 2026,307.20,308.00,294.30,295.40,4176,2192
21 May 2026,312.40,314.00,306.80,308.40,3173,1503
20 May 2026,323.30,326.40,312.00,312.30,2924,1444
19 May 2026,314.50,323.00,313.00,322.30,2331,1834
18 May 2026,307.10,317.00,307.10,314.40,2627,1378
15 May 2026,304.90,308.20,302.50,305.60,1978,1047
14 May 2026,300.50,304.00,295.20,302.40,1673,852
13 May 2026,297.60,304.20,296.20,300.00,1710,766
12 May 2026,307.80,309.00,297.70,298.70,1485,737
11 May 2026,300.80,306.60,298.70,306.00,1559,1056
08 May 2026,295.90,300.90,293.40,294.00,1227,639
07 May 2026,294.00,298.00,288.00,296.10,1821,679
06 May 2026,301.00,301.60,291.30,293.30,1441,608
05 May 2026,307.20,310.80,301.30,303.20,979,786
04 May 2026,306.30,313.50,301.70,311.80,1231,946
01 May 2026,298.90,303.40,298.00,300.50,790,674
30 Apr 2026,289.90,300.40,286.30,297.70,1569,544
29 Apr 2026,293.00,294.30,288.90,289.50,981,291
28 Apr 2026,296.50,298.70,293.50,295.90,542,292
27 Apr 2026,292.60,301.10,292.10,297.40,338,190
24 Apr 2026,294.40,296.30,290.40,292.60,158,113
23 Apr 2026,305.10,305.10,294.60,295.30,46,51
22 Apr 2026,302.50,306.10,302.50,304.80,16,40
21 Apr 2026,299.20,302.40,297.70,301.00,18,37
20 Apr 2026,300.00,302.10,298.00,299.80,17,34
17 Apr 2026,294.00,298.20,293.30,296.40,19,24
16 Apr 2026,296.10,297.00,294.90,295.70,5,22
15 Apr 2026,298.90,299.00,295.00,296.70,19,19
