Date,Open,High,Low,Close,Volume,OI
05 May 2026,272.00,273.90,265.00,267.00,109509,22060
04 May 2026,270.80,276.10,264.40,274.50,16503,11481
01 May 2026,265.80,269.40,262.10,264.60,12975,13411
30 Apr 2026,254.50,266.30,248.80,263.10,21545,12999
29 Apr 2026,254.80,257.00,250.30,252.30,12052,14818
28 Apr 2026,260.00,261.90,255.40,257.70,14595,11210
27 Apr 2026,256.50,265.90,255.30,261.60,15582,10077
24 Apr 2026,258.40,260.10,252.10,255.40,7943,10816
23 Apr 2026,270.10,272.20,253.90,260.20,8110,9713
22 Apr 2026,271.00,273.80,268.80,270.00,4731,8089
21 Apr 2026,265.60,269.50,263.80,267.80,3624,7979
20 Apr 2026,265.20,270.30,264.00,267.00,3600,7617
17 Apr 2026,265.00,266.20,258.80,265.10,3169,7416
16 Apr 2026,260.00,265.10,259.10,262.20,2152,7338
15 Apr 2026,260.10,262.90,259.40,261.10,2060,7122
14 Apr 2026,263.00,265.80,258.00,260.50,2244,6940
13 Apr 2026,268.00,272.60,263.60,264.80,8963,6667
10 Apr 2026,266.80,267.80,263.00,265.10,6540,5841
09 Apr 2026,270.80,272.10,264.70,265.40,7845,5533
08 Apr 2026,271.70,273.90,266.90,267.80,9197,4598
07 Apr 2026,277.50,285.00,274.30,283.00,9329,3266
06 Apr 2026,281.20,283.20,276.00,279.20,7058,3002
02 Apr 2026,283.00,286.40,276.50,277.50,7712,3120
01 Apr 2026,285.10,287.50,277.20,278.40,6514,3039
