Date,Open,High,Low,Close,Volume,OI
18 May 2026,304.00,312.00,303.00,308.70,32800,10054
15 May 2026,299.70,302.80,297.20,300.70,23543,8231
14 May 2026,294.50,298.70,289.30,297.30,26696,6884
13 May 2026,291.70,299.30,289.70,294.90,19802,7163
12 May 2026,295.00,302.90,291.70,293.00,16523,7403
11 May 2026,292.20,300.00,290.00,299.70,18772,7054
08 May 2026,288.90,293.90,285.50,286.40,14915,7454
07 May 2026,286.90,290.80,280.40,289.00,15678,6636
06 May 2026,293.50,295.70,283.70,286.10,15198,7019
05 May 2026,301.30,302.70,293.70,295.50,13719,6984
04 May 2026,298.10,305.60,294.20,303.90,15475,7493
01 May 2026,291.20,296.00,290.60,293.20,8438,6710
30 Apr 2026,282.00,293.40,277.70,290.30,13777,5433
29 Apr 2026,284.00,286.00,280.00,281.80,8264,5163
28 Apr 2026,288.00,290.40,285.50,287.10,9192,4936
27 Apr 2026,285.70,293.30,284.50,289.10,6897,4198
24 Apr 2026,287.60,289.00,282.00,284.60,7203,3849
23 Apr 2026,296.80,298.50,285.80,288.90,7089,3355
22 Apr 2026,296.00,299.70,294.80,296.60,4620,3238
21 Apr 2026,292.00,295.90,290.70,294.40,2905,2695
20 Apr 2026,293.00,296.60,291.10,293.30,3042,2477
17 Apr 2026,291.00,292.80,286.50,292.10,3337,2246
16 Apr 2026,287.70,292.00,287.60,289.60,1854,2173
15 Apr 2026,288.10,291.40,287.70,289.00,2234,2243
14 Apr 2026,298.50,298.50,287.20,289.60,3596,2186
13 Apr 2026,295.90,301.40,293.30,294.30,2998,1990
10 Apr 2026,294.80,296.00,291.70,294.00,2022,1852
09 Apr 2026,296.40,298.00,291.70,293.10,2853,1670
08 Apr 2026,301.20,301.20,291.60,293.60,3340,1511
07 Apr 2026,303.70,307.00,299.00,306.10,2658,1384
06 Apr 2026,305.10,306.10,300.20,302.50,1872,1445
02 Apr 2026,305.80,311.50,301.30,302.00,2477,1394
01 Apr 2026,310.70,311.10,300.70,302.00,2196,1326
