Date,Open,High,Low,Close,Volume,OI
12 May 2026,279.20,281.80,269.20,270.90,149071,47139
11 May 2026,265.40,278.20,265.40,277.60,179664,53341
08 May 2026,263.40,269.30,260.40,261.20,182472,51501
07 May 2026,258.90,266.20,253.30,264.00,179384,44251
06 May 2026,265.00,266.30,255.70,258.60,159322,34520
05 May 2026,271.70,274.00,265.10,267.00,163577,29644
04 May 2026,270.60,276.20,264.60,274.60,194682,22783
01 May 2026,265.50,269.40,261.80,264.50,120294,29988
30 Apr 2026,252.90,266.50,248.40,263.20,199314,31304
29 Apr 2026,255.00,257.10,250.30,252.30,113432,39824
28 Apr 2026,259.90,261.90,255.10,257.70,127511,32945
27 Apr 2026,257.00,265.90,255.10,261.70,130232,29155
24 Apr 2026,258.50,260.10,252.10,255.50,69478,32782
23 Apr 2026,270.80,272.20,253.90,260.20,66214,27241
22 Apr 2026,270.20,273.90,268.90,270.10,34956,14426
21 Apr 2026,264.60,269.60,263.60,267.80,21971,13209
20 Apr 2026,265.60,270.40,264.10,267.10,19983,11889
17 Apr 2026,264.00,266.30,258.80,265.20,19458,11671
16 Apr 2026,259.80,265.00,259.50,262.30,11195,11594
15 Apr 2026,260.20,262.90,259.50,261.20,8726,11522
14 Apr 2026,262.40,265.90,258.10,260.60,11729,11144
13 Apr 2026,267.60,272.60,263.90,265.00,15031,9883
10 Apr 2026,266.60,267.80,263.10,265.30,9116,8821
09 Apr 2026,270.70,272.00,265.00,265.60,10943,8236
08 Apr 2026,278.00,278.00,267.20,268.00,14733,7286
07 Apr 2026,277.40,285.10,274.40,282.90,14135,5679
06 Apr 2026,280.00,283.30,276.10,279.10,10469,5394
02 Apr 2026,282.90,286.70,276.10,277.70,10335,5344
01 Apr 2026,285.80,287.70,277.20,278.60,9500,5253
