Date,Open,High,Low,Close,Volume,OI
08 Jun 2026,312.70,313.20,302.40,306.50,17156,8682
05 Jun 2026,325.50,327.50,311.70,313.10,21084,9137
04 Jun 2026,314.10,327.50,312.60,326.10,26033,11847
03 Jun 2026,306.40,315.50,306.10,313.90,22937,7642
02 Jun 2026,308.80,312.10,301.20,306.40,19081,8482
01 Jun 2026,324.40,326.70,306.80,307.40,26280,8065
29 May 2026,320.00,326.30,317.20,320.20,22099,8793
28 May 2026,302.00,319.20,299.60,317.40,20657,8115
27 May 2026,294.60,306.00,290.80,304.80,17653,6172
26 May 2026,297.90,302.40,296.00,296.40,6584,5227
25 May 2026,293.50,300.00,291.00,295.60,6251,4971
22 May 2026,307.70,308.10,294.40,295.40,9065,4655
21 May 2026,312.60,314.30,307.00,308.50,7286,3954
20 May 2026,323.30,326.40,312.20,312.40,7057,4059
19 May 2026,314.40,323.00,313.20,322.10,5793,4539
18 May 2026,308.30,317.00,308.30,314.30,6495,3795
15 May 2026,304.90,308.00,302.70,305.70,5594,3083
14 May 2026,300.00,304.00,295.40,302.90,5656,2505
13 May 2026,299.50,304.40,296.30,300.30,4609,2179
12 May 2026,306.50,308.80,297.80,298.90,3605,2390
11 May 2026,300.70,306.50,298.60,305.90,3704,2804
08 May 2026,295.40,300.90,293.50,294.10,3146,1840
07 May 2026,294.80,297.90,288.00,296.00,4066,1758
06 May 2026,300.10,302.10,291.50,293.60,3030,1590
05 May 2026,309.60,310.50,301.20,303.20,2362,1703
04 May 2026,305.30,313.70,302.00,311.80,2706,2057
01 May 2026,299.20,303.00,298.00,300.30,1431,1624
30 Apr 2026,289.80,300.40,286.40,297.70,3700,1467
29 Apr 2026,291.50,294.60,289.10,289.80,1872,1115
28 Apr 2026,296.80,298.70,293.70,296.40,1117,851
27 Apr 2026,292.10,300.80,292.00,297.60,1050,750
24 Apr 2026,295.60,297.10,290.60,293.00,853,657
23 Apr 2026,305.10,305.10,294.80,297.60,468,660
22 Apr 2026,301.80,307.10,301.40,303.90,336,678
21 Apr 2026,299.00,302.10,297.50,301.90,210,542
20 Apr 2026,299.40,302.60,298.00,299.30,236,514
17 Apr 2026,299.00,299.60,289.90,298.40,393,437
16 Apr 2026,295.70,299.00,295.10,296.90,158,433
15 Apr 2026,299.00,299.00,295.00,295.80,166,408
