Date,Open,High,Low,Close,Volume,OI
07 May 2026,254998.00,265500.00,254722.00,258540.00,12040,6783
06 May 2026,249316.00,255409.00,249316.00,253265.00,9804,7011
05 May 2026,243426.00,247350.00,242907.00,244316.00,5186,8131
04 May 2026,250699.00,251231.00,241113.00,243895.00,7748,7722
01 May 2026,241502.00,254220.00,241502.00,250937.00,5523,6994
30 Apr 2026,240784.00,245032.00,238755.00,244456.00,6141,7566
29 Apr 2026,243589.00,244107.00,236852.00,238254.00,6947,7862
28 Apr 2026,246263.00,246841.00,239033.00,242763.00,7545,6604
27 Apr 2026,249033.00,250857.00,245601.00,247369.00,3654,5016
24 Apr 2026,245621.00,250546.00,243245.00,250058.00,4458,3801
23 Apr 2026,247899.00,252136.00,244500.00,246841.00,4049,3233
22 Apr 2026,254468.00,255900.00,252322.00,253735.00,2017,2583
21 Apr 2026,254753.00,257087.00,248182.00,249840.00,2599,2245
20 Apr 2026,259541.00,259541.00,256099.00,257819.00,1102,1892
17 Apr 2026,252564.00,266500.00,252564.00,262507.00,1406,1793
16 Apr 2026,259977.00,260500.00,253591.00,253895.00,883,1733
15 Apr 2026,259136.00,260540.00,254138.00,256738.00,1036,1574
14 Apr 2026,251818.00,258113.00,251459.00,257613.00,582,1493
13 Apr 2026,242000.00,247322.00,242000.00,246068.00,518,1365
10 Apr 2026,247898.00,249912.00,244950.00,248075.00,332,1311
09 Apr 2026,241116.00,248981.00,240906.00,248566.00,375,1256
08 Apr 2026,245691.00,251500.00,243480.00,244884.00,549,1237
07 Apr 2026,237891.00,240384.00,229779.00,236242.00,274,1238
06 Apr 2026,237800.00,241099.00,234713.00,237978.00,215,1231
02 Apr 2026,247231.00,247231.00,229856.00,237734.00,362,1219
01 Apr 2026,244963.00,248756.00,243236.00,248240.00,300,1196
