Date,Open,High,Low,Close,Volume,OI
08 May 2026,265972.00,270240.00,263750.00,267482.00,491,316
07 May 2026,260500.00,270650.00,260123.00,263905.00,503,261
06 May 2026,255844.00,260243.00,255278.00,258688.00,352,187
05 May 2026,248000.00,252400.00,248000.00,249468.00,175,158
04 May 2026,257047.00,257047.00,246508.00,249163.00,291,166
01 May 2026,245550.00,259084.00,245550.00,256166.00,201,163
30 Apr 2026,245400.00,250235.00,244155.00,249550.00,153,135
29 Apr 2026,248807.00,249436.00,242579.00,243881.00,207,129
28 Apr 2026,251527.00,251527.00,245206.00,247767.00,170,106
27 Apr 2026,255773.00,256498.00,251456.00,253311.00,30,44
24 Apr 2026,251182.00,255800.00,250671.00,253954.00,39,31
23 Apr 2026,255145.00,256900.00,251802.00,252198.00,29,27
22 Apr 2026,,,,255581.00,0,18
21 Apr 2026,258539.00,258539.00,254456.00,255581.00,9,18
20 Apr 2026,,,,269957.00,0,14
17 Apr 2026,265687.00,271530.00,265687.00,269957.00,16,14
16 Apr 2026,265045.00,265700.00,260786.00,263428.00,5,11
15 Apr 2026,262736.00,263126.00,261572.00,262348.00,4,11
14 Apr 2026,258428.00,258900.00,257452.00,258260.00,3,11
13 Apr 2026,250092.00,252738.00,249300.00,250122.00,6,10
10 Apr 2026,,,,250000.00,0,11
09 Apr 2026,248500.00,251500.00,248500.00,250000.00,2,11
08 Apr 2026,,,,241467.00,0,12
07 Apr 2026,,,,242888.00,0,12
06 Apr 2026,,,,243168.00,0,12
02 Apr 2026,243168.00,243168.00,243168.00,243168.00,1,12
01 Apr 2026,,,,250627.00,0,12
