Date,Open,High,Low,Close,Volume,OI
15 May 2026,285000.00,285938.00,271583.00,274837.00,62184,17767
14 May 2026,299262.00,301190.00,289297.00,293481.00,49404,17331
13 May 2026,283600.00,306664.00,283600.00,302134.00,63494,18025
12 May 2026,281496.00,284400.00,275100.00,280558.00,64285,19185
11 May 2026,265988.00,280490.00,263181.00,279683.00,68891,20730
08 May 2026,263128.00,266890.00,260998.00,264268.00,40758,18281
07 May 2026,257998.00,267797.00,257614.00,261217.00,56167,17940
06 May 2026,251000.00,258200.00,251000.00,256206.00,36524,18924
05 May 2026,247787.00,250800.00,246431.00,248053.00,24297,20350
04 May 2026,253737.00,254999.00,245008.00,247606.00,34368,19982
01 May 2026,247942.00,257100.00,247401.00,253922.00,25587,19124
30 Apr 2026,244000.00,249120.00,242634.00,248206.00,22791,20722
29 Apr 2026,247820.00,247900.00,241251.00,242733.00,22813,22015
28 Apr 2026,249852.00,250598.00,243403.00,246780.00,33978,20951
27 Apr 2026,252394.00,254099.00,249328.00,251017.00,20257,18174
24 Apr 2026,248556.00,253350.00,246106.00,252994.00,34456,16070
23 Apr 2026,253250.00,254798.00,247500.00,249467.00,24913,14221
22 Apr 2026,255000.00,258344.00,254833.00,256196.00,9965,11324
21 Apr 2026,259400.00,259770.00,250653.00,252716.00,17242,11152
20 Apr 2026,260619.00,262008.00,258814.00,259979.00,8191,8525
17 Apr 2026,257449.00,268691.00,255502.00,264393.00,12538,7469
16 Apr 2026,260949.00,262200.00,256004.00,256231.00,6893,7057
15 Apr 2026,261200.00,262350.00,256000.00,258656.00,7056,6181
14 Apr 2026,251999.00,261152.00,251999.00,259526.00,5085,5480
13 Apr 2026,248119.00,249777.00,244801.00,248623.00,3819,5124
10 Apr 2026,250400.00,252912.00,248090.00,251143.00,3433,4744
09 Apr 2026,246100.00,252000.00,244230.00,251710.00,4064,4591
08 Apr 2026,244545.00,255000.00,244545.00,248524.00,5973,4293
07 Apr 2026,241006.00,243901.00,233416.00,239606.00,5056,4277
06 Apr 2026,240125.00,244716.00,238456.00,241864.00,3532,4120
02 Apr 2026,247128.00,247128.00,233700.00,241595.00,7637,3914
01 Apr 2026,251193.00,252555.00,246898.00,252003.00,4625,3835
