Date,Open,High,Low,Close,Volume,OI
19 May 2026,282657.00,285403.00,275800.00,279276.00,3738,3281
18 May 2026,276011.00,288500.00,274510.00,284981.00,8750,3046
15 May 2026,298000.00,298000.00,279613.00,282930.00,8312,3021
14 May 2026,308871.00,308871.00,296773.00,301214.00,5928,2503
13 May 2026,297528.00,313666.00,297528.00,308995.00,8632,2701
12 May 2026,286189.00,289899.00,280907.00,286085.00,7319,2545
11 May 2026,271726.00,285927.00,268833.00,285128.00,8333,2617
08 May 2026,268569.00,272500.00,266507.00,269900.00,3758,2687
07 May 2026,264213.00,273312.00,263300.00,266910.00,5738,2666
06 May 2026,256330.00,263651.00,256330.00,261787.00,3754,2556
05 May 2026,252095.00,256209.00,252095.00,253512.00,2215,2515
04 May 2026,259514.00,260577.00,250600.00,253206.00,3487,2422
01 May 2026,253271.00,262427.00,253101.00,259365.00,2350,2337
30 Apr 2026,249816.00,254650.00,248207.00,253734.00,1758,2383
29 Apr 2026,253253.00,253577.00,246856.00,248300.00,2301,2393
28 Apr 2026,256270.00,256629.00,249170.00,252549.00,4131,2233
27 Apr 2026,259052.00,259958.00,255485.00,256983.00,1581,1718
24 Apr 2026,255044.00,259332.00,252353.00,258865.00,3051,1686
23 Apr 2026,256908.00,260813.00,253964.00,255611.00,1667,1454
22 Apr 2026,262033.00,264236.00,261141.00,262454.00,599,1321
21 Apr 2026,263999.00,265668.00,256500.00,258894.00,1181,1311
20 Apr 2026,266122.00,267800.00,264900.00,266080.00,630,1171
17 Apr 2026,263002.00,274509.00,261600.00,270305.00,1531,1136
16 Apr 2026,267436.00,267674.00,262112.00,262288.00,574,1049
15 Apr 2026,267500.00,267940.00,262270.00,264659.00,720,1002
14 Apr 2026,260272.00,265537.00,258969.00,265266.00,941,1037
13 Apr 2026,254501.00,255499.00,250899.00,254468.00,301,982
10 Apr 2026,256551.00,258713.00,254151.00,256822.00,292,999
09 Apr 2026,252220.00,257809.00,250545.00,257428.00,444,992
08 Apr 2026,250900.00,260819.00,250900.00,254334.00,725,965
07 Apr 2026,247700.00,249908.00,240840.00,245689.00,296,945
06 Apr 2026,246999.00,251022.00,245204.00,248161.00,366,972
02 Apr 2026,248204.00,250000.00,241180.00,247777.00,625,946
01 Apr 2026,257995.00,259084.00,253545.00,258545.00,475,817
