Date,Open,High,Low,Close,Volume,OI
15 May 2026,289600.00,289600.00,271555.00,274831.00,220121,48721
14 May 2026,300630.00,301170.00,287171.00,293483.00,159467,45192
13 May 2026,282850.00,306831.00,282850.00,302157.00,195746,45728
12 May 2026,280800.00,284480.00,275271.00,280560.00,223339,52056
11 May 2026,264500.00,280149.00,263250.00,279698.00,227365,54426
08 May 2026,261839.00,266900.00,261100.00,264292.00,135180,52346
07 May 2026,258299.00,267724.00,257700.00,261226.00,201126,53622
06 May 2026,249200.00,258240.00,249200.00,256291.00,147275,54777
05 May 2026,247664.00,250789.00,246500.00,248109.00,88913,65727
04 May 2026,253487.00,256500.00,245050.00,247675.00,140084,65123
01 May 2026,248489.00,257150.00,247400.00,253956.00,95112,57770
30 Apr 2026,243799.00,249200.00,242689.00,248252.00,94231,63470
29 Apr 2026,247744.00,248558.00,241425.00,242800.00,86275,71529
28 Apr 2026,250311.00,250635.00,243558.00,246829.00,121602,66059
27 Apr 2026,251297.00,254110.00,249500.00,251095.00,72945,58237
24 Apr 2026,247989.00,253416.00,246256.00,253025.00,137164,51510
23 Apr 2026,254551.00,254821.00,247606.00,249535.00,101413,45396
22 Apr 2026,255366.00,258300.00,254808.00,256295.00,39251,34839
21 Apr 2026,259401.00,259700.00,250725.00,252748.00,50337,34898
20 Apr 2026,263701.00,263701.00,258500.00,260045.00,33704,27819
17 Apr 2026,257442.00,268700.00,255501.00,264500.00,53998,25657
16 Apr 2026,259841.00,262500.00,256000.00,256267.00,31671,25640
15 Apr 2026,260363.00,262187.00,256112.00,258668.00,37181,22097
14 Apr 2026,250999.00,259950.00,250990.00,259530.00,26032,19895
13 Apr 2026,249655.00,249820.00,244931.00,248691.00,21529,19880
10 Apr 2026,249608.00,252936.00,248051.00,251157.00,19911,18936
09 Apr 2026,246453.00,252111.00,244051.00,251798.00,21571,18512
08 Apr 2026,244552.00,254988.00,244552.00,248575.00,30936,17660
07 Apr 2026,240930.00,243980.00,233634.00,239683.00,27551,17835
06 Apr 2026,240242.00,244808.00,238534.00,241972.00,18514,17173
02 Apr 2026,247016.00,247016.00,234334.00,241606.00,35716,16767
01 Apr 2026,248971.00,252697.00,247200.00,252200.00,22207,15768
