Date,Open,High,Low,Close
08-May-2026,24532.10,24535.60,24403.50,24477.10
07-May-2026,24450.00,24535.00,24318.00,24382.80
06-May-2026,24471.00,24700.00,24310.00,24683.80
05-May-2026,24350.00,24384.00,24185.20,24345.80
04-May-2026,24221.00,24381.30,24072.00,24206.00
30-Apr-2026,24405.80,24405.80,24113.90,24340.00
29-Apr-2026,24129.00,24450.00,24125.00,24252.00
28-Apr-2026,24300.00,24382.20,24171.10,24201.50
27-Apr-2026,24043.00,24140.00,23980.20,24120.10
24-Apr-2026,24415.80,24483.00,24081.00,24151.50
23-Apr-2026,24160.00,24288.00,24125.00,24163.00
22-Apr-2026,24451.60,24497.00,24325.00,24381.20
21-Apr-2026,24639.90,24850.00,24639.80,24840.10
20-Apr-2026,24589.90,24610.00,24380.90,24471.30
17-Apr-2026,24289.40,24520.00,24208.90,24500.40
16-Apr-2026,24455.00,24505.90,24240.00,24328.20
15-Apr-2026,24321.00,24449.90,24301.50,24363.80
13-Apr-2026,23748.00,23935.00,23625.00,23858.70
10-Apr-2026,24054.30,24235.00,24054.30,24216.90
09-Apr-2026,23960.00,24029.50,23750.00,23861.30
08-Apr-2026,23900.00,24219.00,23900.00,24182.50
07-Apr-2026,23217.00,23475.40,23105.40,23452.20
06-Apr-2026,23055.30,23373.80,22920.00,23347.40
02-Apr-2026,22787.60,22954.90,22412.40,22904.20
01-Apr-2026,22900.00,23154.00,22831.00,22934.80
30-Mar-2026,22830.10,22950.00,22525.00,22565.40
27-Mar-2026,23450.00,23450.10,23025.00,23043.90
25-Mar-2026,23299.90,23700.00,23299.80,23547.10
24-Mar-2026,23000.00,23301.00,22880.00,23184.30
23-Mar-2026,23239.90,23239.90,22750.00,22788.30
20-Mar-2026,23450.00,23653.00,23360.00,23422.10
19-Mar-2026,23768.00,23768.00,23235.00,23333.00
18-Mar-2026,23940.00,24146.00,23928.10,24051.60
17-Mar-2026,23757.20,23941.80,23665.00,23895.80
16-Mar-2026,23475.00,23807.70,23317.10,23714.40
13-Mar-2026,23851.00,23856.60,23462.50,23503.50
12-Mar-2026,24040.00,24204.10,23937.80,24010.30
11-Mar-2026,24800.00,24800.00,24200.00,24231.20
10-Mar-2026,24619.70,24688.10,24444.00,24670.00
09-Mar-2026,24250.00,24480.00,24080.00,24410.60
06-Mar-2026,25000.00,25039.00,24772.50,24815.30
05-Mar-2026,24900.50,25219.90,24890.40,25118.50
04-Mar-2026,24900.00,24959.90,24700.00,24863.60
02-Mar-2026,25400.00,25400.00,24996.70,25235.50
27-Feb-2026,25850.10,25850.10,25550.00,25598.20
26-Feb-2026,25906.80,26004.90,25820.00,25912.50
25-Feb-2026,25994.00,26091.00,25859.00,25905.70
