Date,Open,High,Low,Close
04-Jun-2026,23592.00,23628.40,23425.00,23605.00
03-Jun-2026,23625.00,23675.00,23311.00,23616.40
02-Jun-2026,23499.90,23737.90,23394.20,23705.70
01-Jun-2026,23855.30,23896.80,23547.00,23568.50
29-May-2026,24120.00,24140.00,23810.10,23852.60
27-May-2026,24064.70,24129.90,24008.00,24089.60
26-May-2026,24180.00,24226.00,24039.00,24064.70
25-May-2026,24070.90,24255.00,24070.90,24210.00
22-May-2026,23689.00,23849.00,23675.10,23744.00
21-May-2026,23815.00,23837.30,23550.00,23631.40
20-May-2026,23420.00,23700.00,23386.60,23668.50
19-May-2026,23790.00,23850.00,23669.00,23701.20
18-May-2026,23519.00,23712.70,23342.10,23658.00
15-May-2026,23743.00,23854.50,23585.30,23643.90
14-May-2026,23625.00,23880.00,23535.00,23793.80
13-May-2026,23455.00,23629.60,23320.00,23462.40
12-May-2026,23925.40,23925.60,23500.00,23528.40
11-May-2026,24300.00,24300.10,24087.90,24106.30
08-May-2026,24532.10,24535.60,24403.50,24477.10
07-May-2026,24550.10,24630.00,24425.00,24491.70
06-May-2026,24471.00,24700.00,24310.00,24683.80
05-May-2026,24062.00,24148.00,23937.00,24106.30
04-May-2026,24221.00,24381.30,24072.00,24206.00
30-Apr-2026,24224.90,24259.90,23982.00,24210.60
29-Apr-2026,24425.60,24708.00,24404.10,24528.40
