Date,Open,High,Low,Close
29-May-2026,23994.00,24065.10,23711.10,23748.80
27-May-2026,23970.00,24045.00,23900.00,23996.70
26-May-2026,24105.00,24145.00,23950.00,23978.90
25-May-2026,23989.00,24160.00,23980.00,24106.40
22-May-2026,23783.50,23910.00,23760.00,23801.40
21-May-2026,23899.00,23922.00,23640.20,23726.80
20-May-2026,23420.00,23700.00,23386.60,23668.50
19-May-2026,23790.00,23850.00,23669.00,23701.20
18-May-2026,23519.00,23712.70,23342.10,23658.00
15-May-2026,23743.00,23854.50,23585.30,23643.90
14-May-2026,23625.00,23880.00,23535.00,23793.80
13-May-2026,23455.00,23629.60,23320.00,23462.40
12-May-2026,23925.40,23925.60,23500.00,23528.40
11-May-2026,24200.00,24200.00,23959.00,23974.60
08-May-2026,24411.10,24411.10,24273.00,24339.20
07-May-2026,24550.10,24630.00,24425.00,24491.70
06-May-2026,24358.90,24566.30,24170.00,24544.90
05-May-2026,24300.00,24300.00,24050.00,24215.10
04-May-2026,24320.00,24477.70,24185.00,24312.80
30-Apr-2026,24224.90,24259.90,23982.00,24210.60
29-Apr-2026,24129.00,24450.00,24125.00,24252.00
28-Apr-2026,24300.00,24382.20,24171.10,24201.50
27-Apr-2026,24043.00,24140.00,23980.20,24120.10
24-Apr-2026,24299.00,24341.90,23941.00,24027.00
23-Apr-2026,24555.00,24555.00,24391.10,24410.60
22-Apr-2026,24729.20,24800.00,24605.00,24653.60
21-Apr-2026,24639.90,24850.00,24639.80,24840.10
20-Apr-2026,24717.00,24749.60,24551.00,24606.70
17-Apr-2026,24487.40,24666.60,24387.40,24653.00
16-Apr-2026,24599.90,24663.00,24405.10,24487.40
15-Apr-2026,24306.60,24599.20,24306.60,24522.30
13-Apr-2026,24001.10,24225.00,23900.00,24152.90
10-Apr-2026,24185.90,24385.00,24185.90,24370.20
09-Apr-2026,24290.00,24323.70,24050.10,24152.70
08-Apr-2026,24117.10,24374.00,24098.40,24332.40
07-Apr-2026,23217.00,23475.40,23105.40,23452.20
06-Apr-2026,23055.30,23373.80,22920.00,23347.40
02-Apr-2026,22759.70,23106.90,22546.00,23051.20
01-Apr-2026,23280.00,23313.80,23017.20,23077.30
30-Mar-2026,22700.00,22825.00,22381.00,22426.20
